Sample,Temp 1,Temp 2,Temp 3,Rate 1,Rate 2,Rate 3,Thick 1,Thick 2,Thick 3,Pressure
0,20.5,20.8,21,0,0,,0,0,,4.55E-07
1,20.5,20.8,21,0,0,,0,0,,4.55E-07
2,20.5,20.8,21,0,-0.01,,0,0,,4.55E-07
3,20.5,20.8,21,0,-0.01,,0,0,,4.55E-07
4,20.5,20.8,21,0,0,,0,0,,4.55E-07
5,20.5,20.8,21,0,-0.01,,0,0,,4.55E-07
6,20.5,20.8,21,-0.01,-0.01,,0,0,,4.55E-07
7,20.5,20.8,21,-0.01,0,,0,0,,4.55E-07
8,20.5,20.8,21,0,0,,0,0,,4.55E-07
9,20.5,20.8,21,0,-0.01,,0,0,,4.54E-07
10,20.5,20.8,21,0,-0.01,,0,0,,4.54E-07
11,20.5,20.8,21,0,-0.01,,0,0,,4.54E-07
12,20.5,20.8,21,0,0,,0,0,,4.54E-07
13,20.5,20.8,21,0,-0.01,,0,0,,4.54E-07
14,20.5,20.8,21,0,0,,0,0,,4.54E-07
15,20.5,20.8,21,0,0,,0,0,,4.54E-07
16,20.5,20.8,21,-0.01,-0.01,,0,0,,4.54E-07
17,20.5,20.8,21,0,0,,0,0,,4.54E-07
18,20.5,20.8,21,0,-0.01,,0,0,,4.54E-07
19,20.5,20.8,21,0,-0.01,,0,0,,4.54E-07
20,20.5,20.8,21,0,0,,0,0,,4.54E-07
21,20.5,20.8,21,0,-0.01,,0,0,,4.54E-07
22,20.5,20.8,21,-0.01,0,,0,0,,4.54E-07
23,20.5,20.8,20.9,0,-0.01,,0,0,,4.54E-07
24,20.5,20.8,20.9,-0.01,0,,0,0,,4.54E-07
25,20.5,20.8,20.9,0,0,,0,0,,4.53E-07
26,20.5,20.8,20.9,0,0,,0,0,,4.53E-07
27,20.5,20.8,20.9,0,0,,0,0,,4.53E-07
28,20.5,20.8,20.9,-0.01,0,,0,0,,4.53E-07
29,20.5,20.8,20.9,0,0,,0,0,,4.53E-07
30,20.5,20.8,20.9,0,-0.01,,0,0,,4.53E-07
31,20.5,20.8,20.9,0,0,,0,0,,4.53E-07
32,20.5,20.8,20.9,0,0,,0,0,,4.53E-07
33,20.5,20.8,20.9,0,0,,0,0,,4.53E-07
