Sample	Temperature 1	Temperature 2	Temperature 3	Rate 1	Rate 2	Rate 3	Pressure
0	21.1	21.2	20.7	-0.3	-0.31	-0.31	1010
1	21.1	21.2	20.7	-0.29	-0.24	-0.24	1010
2	21.1	21.2	20.7	-0.28	-0.21	-0.21	1010
3	21.1	21.2	20.7	-0.28	-0.14	-0.14	1010
4	21.1	21.2	20.7	-0.26	-0.11	-0.11	1010
5	21.1	21.2	20.7	-0.26	-0.06	-0.06	1010
6	21.1	21.2	20.7	-0.25	-0.04	-0.02	1010
7	21.1	21.1	20.7	-0.24	0.01	0.01	1010
8	21.1	21.1	20.7	-0.25	0.05	0.05	1010
9	21.1	21.1	20.7	-0.25	0.08	0.08	1010
10	21	21.1	20.7	-0.24	0.1	0.1	1010
11	21	21.1	20.7	-0.24	0.11	0.11	1010
12	21	21.1	20.7	-0.23	0.13	0.13	1010
13	21	21.1	20.7	-0.22	0.15	0.15	1010
14	21	21.1	20.7	-0.22	0.16	0.16	956
15	21	21.1	20.7	-0.22	0.18	0.18	637
16	21	21.1	20.6	-0.21	0.19	0.19	465
17	21	21.1	20.6	-0.2	0.2	0.2	358
18	21	21	20.6	-0.21	0.21	0.21	286
19	21	21	20.6	-0.2	0.23	0.23	234
20	21	21	20.6	-0.2	0.24	0.24	195
21	21	21	20.6	-0.2	0.25	0.25	165
22	21	21	20.6	-0.18	0.26	0.26	141
23	21	21	20.6	-0.18	0.27	0.27	122
24	20.9	21	20.6	-0.18	0.27	0.27	106
25	20.9	21	20.6	-0.19	0.28	0.28	93.1
26	20.9	21	20.6	-0.17	0.29	0.29	82
27	20.9	21	20.6	-0.17	0.3	0.3	72.5
28	20.9	21	20.6	-0.17	0.3	0.3	64.4
29	20.9	21	20.6	-0.17	0.31	0.31	57.4
30	20.9	21	20.6	-0.16	0.31	0.31	51.2
31	20.9	21	20.6	-0.16	0.31	0.31	45.9
32	20.9	21	20.6	-0.16	0.31	0.31	41.2
33	20.9	21	20.6	-0.16	0.31	0.31	37
34	20.9	21	20.6	-0.15	0.31	0.31	33.4
35	20.9	21	20.6	-0.14	0.31	0.31	30.1
36	20.9	21	20.6	-0.14	0.31	0.31	27.2
37	20.9	20.9	20.6	-0.15	0.3	0.3	24.6
38	20.9	20.9	20.6	-0.14	0.3	0.3	22.3
39	20.9	20.9	20.6	-0.14	0.3	0.3	20.2
40	20.9	20.9	20.6	-0.14	0.29	0.29	18.3
41	20.9	20.9	20.6	-0.14	0.29	0.29	16.6
42	20.9	20.9	20.6	-0.13	0.29	0.29	15.1
43	20.9	20.9	20.6	-0.12	0.28	0.28	13.7
44	20.9	20.9	20.6	-0.13	0.28	0.28	12.5
45	20.9	20.9	20.6	-0.13	0.27	0.27	11.4
46	20.9	20.9	20.6	-0.12	0.26	0.26	10.3
47	20.9	20.9	20.6	-0.13	0.25	0.25	9.41
48	20.8	20.9	20.6	-0.12	0.22	0.22	8.56
49	20.8	20.9	20.6	-0.11	0.21	0.21	7.78
50	20.8	20.9	20.6	-0.11	0.19	0.19	7.08
51	20.8	20.9	20.6	-0.1	0.18	0.17	6.43
52	20.8	20.9	20.6	-0.09	0.17	0.17	5.84
53	20.8	20.9	20.6	-0.11	0.17	0.17	5.3
54	20.8	20.9	20.6	-0.1	0.16	0.16	4.8
55	20.8	20.9	20.6	-0.1	0.16	0.16	4.34
56	20.8	20.9	20.6	-0.1	0.16	0.16	3.92
57	20.8	20.9	20.6	-0.1	0.16	0.16	3.52
58	20.8	20.9	20.6	-0.09	0.16	0.16	3.16
59	20.8	20.9	20.6	-0.1	0.16	0.16	2.82
60	20.8	20.9	20.6	-0.1	0.17	0.17	2.51
61	20.8	20.9	20.6	-0.09	0.17	0.17	2.22
62	20.8	20.9	20.6	-0.1	0.17	0.17	1.94
63	20.8	20.9	20.6	-0.09	0.17	0.17	1.68
64	20.8	20.9	20.6	-0.1	0.17	0.17	1.44
65	20.8	20.8	20.6	-0.1	0.17	0.17	1.21
66	20.8	20.8	20.6	-0.1	0.17	0.17	0.998
67	20.8	20.8	20.7	-0.11	0.18	0.18	0.794
68	20.8	20.8	20.7	-0.11	0.19	0.19	0.603
69	20.8	20.8	20.7	-0.12	0.2	0.2	0.426
70	20.8	20.8	20.7	-0.13	0.21	0.21	0.266
71	20.8	20.8	20.7	-0.16	0.24	0.24	0.127
72	20.7	20.8	20.7	-0.19	0.28	0.28	0.0294
73	20.7	20.8	20.7	-0.3	0.3	0.3	0.00562
74	20.7	20.8	20.7	-0.25	0.3	0.3	0.0027
75	20.7	20.8	20.7	-0.21	0.27	0.27	0.00182
76	20.7	20.8	20.7	-0.16	0.21	0.21	0.00136
77	20.7	20.8	20.7	-0.15	0.19	0.19	0.00107
78	20.7	20.8	20.7	-0.12	0.15	0.15	0.000863
79	20.7	20.8	20.7	-0.11	0.11	0.11	0.000711
80	20.7	20.8	20.7	-0.1	0.1	0.1	0.000591
81	20.7	20.8	20.7	-0.09	0.07	0.07	0.000505
82	20.7	20.8	20.7	-0.09	0.06	0.06	0.000447
83	20.7	20.8	20.7	-0.08	0.04	0.04	0.000407
84	20.7	20.8	20.7	-0.07	0.03	0.03	0.000374
85	20.7	20.8	20.7	-0.07	0.02	0.02	0.000347
86	20.6	20.8	20.7	-0.07	0.01	0.01	0.000323
87	20.6	20.8	20.7	-0.06	0	0	0.000303
88	20.6	20.8	20.7	-0.06	-0.01	-0.01	0.000285
89	20.6	20.8	20.7	-0.06	-0.02	-0.02	0.000269
90	20.6	20.8	20.7	-0.05	-0.02	-0.02	0.000255
91	20.6	20.8	20.7	-0.05	-0.03	-0.03	0.000241
92	20.6	20.8	20.7	-0.05	-0.03	-0.03	0.000227
93	20.6	20.8	20.7	-0.05	-0.03	-0.03	0.000216
