Sample,Temp 1,Temp 2,Temp 3,Rate 1,Rate 2,Rate 3,Thick 1,Thick 2,Thick 3,Pressure
0,20.7,20.9,83.2,0.0,0.0,0.01,0.001,0.0,0.132,2.35e-06
1,20.7,20.9,83.0,0.0,0.0,0.02,0.001,0.0,0.132,2.35e-06
2,20.7,21.0,82.8,0.0,0.0,0.01,0.001,0.0,0.132,2.35e-06
3,20.7,21.0,82.6,0.0,0.0,0.01,0.001,0.0,0.132,2.34e-06
4,20.7,21.0,82.4,0.0,0.0,0.0,0.001,0.0,0.132,2.35e-06
5,20.7,21.0,82.2,0.0,0.0,0.02,0.001,0.0,0.132,2.35e-06
6,20.7,21.0,82.0,0.0,0.0,0.01,0.001,0.0,0.132,2.34e-06
7,20.7,21.0,81.8,0.0,0.0,0.0,0.001,0.0,0.132,2.35e-06
8,20.7,21.0,81.6,0.0,0.0,0.01,0.001,0.0,0.132,2.35e-06
9,20.7,21.0,81.4,0.0,0.0,0.01,0.001,0.0,0.132,2.34e-06
10,20.7,21.0,81.2,0.0,0.0,0.01,0.001,0.0,0.132,2.35e-06
11,20.7,21.0,81.0,0.0,0.0,0.01,0.001,0.0,0.132,2.35e-06
12,20.7,21.0,80.8,-0.0,0.0,0.01,0.001,0.0,0.132,2.35e-06
13,20.7,21.0,80.6,0.0,0.0,0.0,0.001,0.0,0.132,2.35e-06
14,20.7,21.0,80.4,0.0,0.0,0.02,0.001,0.0,0.132,2.35e-06
15,20.7,21.0,80.2,0.0,0.0,0.01,0.001,0.0,0.132,2.35e-06
16,20.7,21.0,80.0,0.0,0.0,0.02,0.001,0.0,0.132,2.34e-06
17,20.7,21.0,79.8,0.0,0.0,0.01,0.001,0.0,0.132,2.35e-06
18,20.7,21.0,79.6,0.0,0.0,-0.0,0.001,0.0,0.132,2.35e-06
19,20.7,21.0,79.4,0.0,0.0,0.01,0.001,0.0,0.132,2.34e-06
20,20.7,21.0,79.2,0.0,0.0,0.02,0.001,0.0,0.132,2.34e-06
21,20.7,21.0,79.1,-0.0,0.0,0.02,0.001,0.0,0.133,2.34e-06
22,20.7,21.0,78.9,0.0,0.0,0.01,0.001,0.0,0.133,2.35e-06
23,20.7,21.0,78.7,0.0,0.0,0.0,0.001,0.0,0.133,2.34e-06
24,20.7,21.0,78.5,-0.0,0.0,0.01,0.001,0.0,0.133,2.34e-06
25,20.7,21.0,78.3,0.0,0.0,0.0,0.001,0.0,0.133,2.35e-06
26,20.7,21.0,78.1,0.0,0.0,0.02,0.001,0.0,0.133,2.35e-06
27,20.7,21.0,77.9,0.0,0.0,0.0,0.001,0.0,0.133,2.34e-06
28,20.7,21.0,77.7,0.0,0.0,0.01,0.001,0.0,0.133,2.34e-06
29,20.7,21.0,77.5,0.0,0.0,0.02,0.001,0.0,0.133,2.34e-06
30,20.7,21.0,77.3,0.0,0.0,0.01,0.001,0.0,0.133,2.34e-06
31,20.7,21.0,77.1,0.0,0.0,0.0,0.001,0.0,0.133,2.35e-06
32,20.7,21.0,76.9,0.0,0.0,0.02,0.001,0.0,0.133,2.35e-06
33,20.7,21.0,76.7,-0.0,0.0,0.02,0.001,0.0,0.133,2.35e-06
34,20.7,21.0,76.5,0.0,0.0,0.0,0.001,0.0,0.133,2.35e-06
35,20.7,21.0,76.3,-0.0,0.0,0.01,0.001,0.0,0.133,2.34e-06
36,20.7,21.0,76.1,0.0,0.0,0.01,0.001,0.0,0.133,2.35e-06
37,20.7,21.0,75.9,0.0,0.0,0.01,0.001,0.0,0.133,2.35e-06
38,20.7,21.0,75.7,0.0,0.0,-0.01,0.001,0.0,0.133,2.35e-06
39,20.7,21.0,75.5,0.0,0.0,0.02,0.001,0.0,0.133,2.34e-06
40,20.7,21.0,75.3,0.0,0.0,0.0,0.001,0.0,0.133,2.34e-06
41,20.7,21.0,75.1,0.0,0.0,0.0,0.002,0.0,0.133,2.35e-06
42,20.7,21.0,74.9,-0.0,0.0,0.01,0.002,0.0,0.133,2.35e-06
43,20.7,21.0,74.7,0.0,0.0,0.0,0.002,0.0,0.133,2.34e-06
44,20.7,21.0,74.5,0.0,0.0,0.01,0.002,0.0,0.133,2.34e-06
45,20.7,21.0,74.3,0.0,0.0,0.01,0.002,0.0,0.133,2.35e-06
46,20.7,21.0,74.2,0.0,0.0,-0.01,0.002,0.0,0.133,2.34e-06
47,20.7,21.0,74.0,0.0,0.0,0.0,0.002,0.0,0.133,2.34e-06
48,20.7,21.0,73.8,0.0,0.0,0.0,0.002,0.0,0.133,2.34e-06
49,20.7,21.0,73.6,0.0,0.0,0.0,0.002,0.0,0.133,2.34e-06
50,20.7,21.0,73.4,0.0,0.0,0.0,0.002,0.0,0.133,2.34e-06
51,20.7,21.0,73.3,0.0,0.0,-0.0,0.002,0.0,0.133,2.34e-06
52,20.7,21.0,73.1,0.0,0.0,0.0,0.002,0.0,0.133,2.34e-06
53,20.7,21.0,72.9,0.0,0.0,0.0,0.002,0.0,0.133,2.34e-06
54,20.7,21.0,72.8,0.0,0.0,-0.01,0.002,0.0,0.133,2.34e-06
55,20.7,21.0,72.6,0.0,0.0,0.01,0.002,0.0,0.133,2.34e-06
56,20.7,21.0,72.4,0.0,0.0,0.01,0.002,0.0,0.133,2.34e-06
57,20.7,21.0,72.3,-0.0,0.0,-0.0,0.002,0.0,0.133,2.34e-06
58,20.7,21.0,72.1,0.0,0.0,-0.0,0.002,0.0,0.133,2.34e-06
